Ticker,Date/Time,Close,SL,Mega Buy by Larger Wave ,Mega Sellby Larger Wave,Short_SL,Call,Status
1STCUS.BO,2025-01-07,138,100.6,130.25,,165.9,Long,Open
20MICRONS.NS,2025-01-03,232,219.35,,257.93,261.08,Short,Close
21STCENMGM.NS,2024-12-06,87,42.7,,100.78,101.28,Short,Close
360ONE.NS,2025-01-03,1127,940.0,,1306.05,1311.35,Short,Close
3IINFOLTD.NS,2025-01-01,28,25.23,,32.25,33.67,Short,Close
3MINDIA.NS,2024-11-29,29024,28498.95,,32232.95,32799.2,Short,Close
3PLAND.NS,2024-12-26,50,35.53,61.68,,82.06,Long,Open
4THGEN.BO,2024-09-16,7,2.99,5.67,,5.67,Long,Open
5PAISA.NS,2024-12-10,423,458.0,,511.08,519.0,Short,Close
63MOONS.NS,2025-01-07,831,351.0,875.36,,992.25,Long,Open
7NR.BO,2024-12-06,5,,5.55,,6.55,Long,Open
7SEASL.BO,2025-01-08,80,70.05,,89.57,91.28,Short,Close
7TEC.BO,2024-12-17,52,54.31,,58.3,59.6,Short,Close
A2ZINFRA.NS,2025-01-14,23,20.42,20.95,,26.8,Long,Open
AAATECH.NS,2024-12-06,100,93.55,,117.01,118.0,Short,Close
AAIL.BO,2025-01-03,134,96.0,,146.58,148.6,Short,Close
AAKASH.NS,2024-12-02,10,10.1,,11.22,11.38,Short,Close
AANANDALAK.BO,2024-12-20,20,1.91,,24.3,24.3,Short,Close
AANCHALISP.BO,2025-01-02,5,5.07,,5.49,5.59,Short,Close
AARNAV.BO,2025-01-08,61,53.0,,69.48,70.44,Short,Close
AARON.NS,2025-01-03,352,251.05,,379.6,417.35,Short,Close
AARTECH.BO,2025-01-07,78,58.38,,99.84,100.55,Short,Close
AARTIDRUGS.NS,2024-12-24,420,499.45,440.26,,497.6,Long,Open
AARTIIND.NS,2025-01-14,409,390.25,406.63,,434.85,Long,Open
AARTISURF.NS,2024-12-11,602,605.0,,668.71,679.7,Short,Close
AARVEEDEN.NS,2024-10-29,132,22.6,43.03,,50.0,Long,Open
AARVI.NS,2024-12-12,124,127.72,,148.28,150.0,Short,Close
AAVAS.NS,2024-09-23,1638,1335.5,,1907.79,1919.95,Short,Close
AAYUSH.BO,2024-12-23,96,26.51,,138.16,138.17,Short,Close
ABAN.NS,2024-12-10,56,60.77,,71.15,72.7,Short,Close
ABANSENT.BO,2025-01-01,36,25.1,,41.08,43.98,Short,Close
ABB.NS,2024-12-16,6147,7053.2,,7880.14,7943.75,Short,Close
ABBOTINDIA.BO,2025-01-01,28256,27235.0,,29973.74,30098.3,Short,Close
ABBOTINDIA.NS,2024-08-21,29559,25200.0,27946.75,,28666.15,Long,Open
ABCAPITAL.NS,2024-12-11,174,200.05,,201.61,202.6,Short,Close
ABCINDQ.BO,2025-01-08,109,111.1,,118.13,121.0,Short,Close
ABFRL.NS,2024-12-02,270,198.75,,321.49,325.3,Short,Close
ABHICAP.BO,2025-01-01,154,131.55,152.23,,158.9,Long,Open
